tweet,text,class
1228617802,We'll talk.  It' s going very well.  Should be getting new e-mails re: SPU soon ,pos
1231031116,Not exactly odd..it's great...4 ppl to get along and not fight!? ,pos
1228673668,i agree  USER ,pos
1229646466,Try replacing the tire instead. ,pos
1228926649,Gamestop in mall ,neg
1229798590,Kimberly... I AM IN TEXAS!  Oh yeah.. Nicole! I AM IN TEXAS! Direct msg me bc i am on my phone!,pos
1230499257,aren't most santa photos?? but srsly the horrible ones are GREAT to look back on  I hope you post them :p,pos
1228156775,"Hey, I know it's a day early but, hope you enjoy your holiday as well as the rest of your vacation  TTYL Gotta go.",pos
1229529153,"am officially a card carrying member of PRSA -- well, was an official member before, but now I have my card   just in time for PR Day tom!",pos
1229302428,ill pick my own song and post on flickr ,pos
1226625049,cool! How is your sweet little niece doing these days? I bet she is growing like a weed by now. ,pos
1229435824,much lafter and appreciation. We go to a cool church  ,pos
1231015579,Oh I like that one! I've had my share of days like that at work! I especially like the stressed feeling too. They're so clever ,pos
1228231974,wishes you-Happy Folie a Deux Release Day! I got my package lastnight. And FaD is amazing! Also the FOB concert on FUSE is tonight at 9pm,pos
1227201122,"i would love to talk, will be at dentist until about 1pm though ",neg
1228997640,then wish me luck bro .. ,pos
1230667465,"Plus the projectionist rewound the parts we missed, so we got to watch them with sound after all. ",pos
1229185035,Paying for last night with the headache to rule all headaches. ,neg
1229607979,my dad is not in a good mood today... ... I get so stressed  is not a good morning.. and tomorrow going to the country ...  again,neg
1229616977,Thanks. Happy new year to you & yours back! ,pos
1229563213,"so tired, indeed a long day~ ",pos
1229454987,i've just started stretchin my ear piercin for a flesh tunnel.how excitin ,pos
1229804073,"I get my weekends off, unlike the previous generation of developers. Nights too!  ",pos
1229827542,Oh and they say hi. ,pos
1230951585,"email me sir, we'll sort out a plan ",pos
1230990268,I brought a motophone for old device hockey tonight - it was still lighting up after being run over by a bus!!! I won a g1 for that. ,pos
1229065989,laying curled up on his bed snoring and the new dog is chewing on a rope and not my bra ,pos
1229904801,I'm waiting to upgrade whether it likes it or not. I pulled an all-nighter last night and I just don't have patience for it now. ,pos
1229420464,I'm glad to see you survived multiple teenagers ,pos
1230168719,"God is not passive, for love is never passive, but always passionate; and passion always leads to action. Stay focused ",pos
1228532163,"I couldn't either so I bought one on eBay  But don't worry, I'll be a repeat customer.",pos
1229816157,yeah - I almost did DVDs but I did that last year and don't know what he owns already. maybe a cool art history book? I dunno ,neg
1228884478,"Every so often, I have the urge to correct that misconception, but a little encouragement on a rough day is nice, too. ",pos
1230005714,"I just don't know what to talk about with some people and unfortunatly Jennifers mom, grandma, other grandma, and uncle are four of them ",neg
1229157099,"is it warm at your house? I'm up for cupcakes, but I'm tired of cold weather ",neg
1228092583,"Hot cup of tea, warm spot on the couch, great dinner had... I'm a lucky woman ",pos
1230199841,awesome - didn't know you were on twitter  I always talk about ninjas on here.,pos
1229128417,"making today better: the holiday musical stylings of perry como and harry connick, jr., whose crooning never fails to make me happy. ",pos
1230779247,"Woohoo!! Thanks, guys, and welcome new followers. Just 8 away from 400 now. ",pos
1228539481,"looking forward to helping some musicians make sense of all things web. social, music 2.0 later this week ",pos
1230697866,"So true. Sometimes I feel like I'm a ""silo lifeguard"" - coaxing the wary to tip their toe in the big new pool ",pos
1230621429,"Dupa o seara cu Brian (proful de actorie) si colegii, de petrecut ca s-a gatat semestrul, ma pregatesc sa merg in Dreamland  Nighty Night!",pos
1228335790,How is it Mason slept from 7:30pm-8:30am yesterday and 8:30-6:00 this am?  I'm so tired. Still have landscaping to do ,neg
1229089175,Jeeze you get around don't you! I'm in the wrong line of work obviously LOL Hope you're having fun ,pos
1230698182,I know o_O I'm still cold ,neg
1230198688,Customization of the interface (colours and fonts) is in the cards once I get all the features working right ,pos
1228947741,"Hi Jan! Sounds balmy to me LOL... Believe it or not, it is -30F here. Cars aren't starting. Stay warm ",pos
1229927870,"URL

try that out ",pos
1229351104,"just got off the phone with one of the guys who founded URL. super cool business, sounds like they're doing very well : )",pos
1229129837,Finally installed twitter on my iphone. ,pos
1227759233,"Carter is whining right now to go to ""Chuck Chesse"" because he saw a commercial for Chuck E. CHeese on TV.. It's 8 in the morning",pos
1231053400,My honey will be home exactly one week from today. This makes me unspeakably happy ,pos
1229824709,Any ideas you would like to see for our Torah Tunes Website? Would love to hear... ,pos
1230189283,I'm stuffed to my lungs. Gills are for fishies. ,pos
1228617373,"LOL, forreal.  The last hooka place I was in, I was the oldest by far, and I'm 32.  It's for the younger set, I guess ",pos
1229837442,well...still havent bought the tickets.Hope there s still some left. if anyone wants to come along ...,pos
1229825179,"i wish it would rain, i love it. all we have here is stinkn fog.",neg
1229641683,"No, the customer is not always right.  ",pos
1229875094,"I love your videos, you have a wonderful sense of humor. ",pos
1228084379,wife is still texting me after wisdom teeth removal...what a trooper ,pos
1229206487,USER it seems like everybody is having a blast ,pos
1227656778,"I would love, love, love a firstdogonmoon Zebra avatar!  : )  : )  : )",pos
1230873965,Hey there   What a joy and encouragement to read your comment on my interview with Susie ~,pos
1229992876,"HAHAHA. You're hilarious! By the way, the Kanye IS ADDICTIVE! Good call. ",pos
1229643301,Following them! Thanks! ,pos
1230833953,The world has gone mad ... just seen Easter eggs for sale in a local store!!! & FYI USER has just bought one ,pos
1230788342,"time to invest in gold, guns, and a shack in the woods - URL - what a depressing series ",neg
1229617796,My dumb pinky is still numb! Ahh ridiculous. ,pos
1230266086,True that! Thanks ,pos
1199826213,but why to quit? taks a QUITE BREAK. ,pos
1230137648,That sounds like a great day. ,pos
1230545679,asyik... domain nya dah jadi ,pos
1229497889,WOW what a weekend! we have some talking to do ,pos
1227715095,"Just taking Traffic Mania RSSBot for a spin - very nice, and much easier than doing it all manually ",pos
1228880672,do you keep in touch w/ odette and her daughters these days? ,pos
1228938856,My hubby is the best. He just came back from running errands with Diet Coke and M&Ms in hand for me. Now that's what I call love.  ,pos
1228679027,RT USER People who retweet my tweets are awesome!  I think I should start sending a personal thank-you when people do. Do YOU..?,pos
1230102693,"Zoli, I had the same problem yesterday with one of my accounts (the one I had most of my contacts) ",neg
1229897463,"sounds great, see u there! ",pos
1228655924,well make sure to update us when that comes out! VERY cool  I am SO jealous!!,pos
1229356758,very good thanks for sharing...where is the nearest cliff I can jump off! ,pos
1230147418,"Great article!  My fave ""want a business that runs itself""... as if!!  ",pos
1230531534,Retweeting USER Heh. Looks like I killed the feed by tweeting it.   --&gt; Must be cool if you can do that ,pos
1230522443,Not at all - love of self = giving love freely to everyone else ,pos
1230965172,"YOU said it, not me.  chill fam, its cute.",pos
1230309524,Tuesday is a joyful day ,pos
1230347177,"El Laberinto del fauno,  mystical evn with its english subtitles ",pos
1229570021,"NO, how the hell are you? Tried calling a coupla TIMes over the holiday but nothing Missed ya! ",neg
1230537681,"no five head like me? Just a bald spot in the back? Wish I had some skinny pics, cuase like your hair that aint never coming back ",neg
1229933141,Okay. I'll count you then. ,pos
1230958329,"Does anyone else get mega motivated after a quick walk in the sunshine, fall leaves and breathing in that clean fresh air? I sure do! ",pos
1229897706,Jst had dinner...will sleep in a while..I wanted to complete so mch work this weekend bt did very little..got to put in extrahrs trrow!!,neg
1228041733,Time to re-assess.  What do you want from your women friends in'09? What are you willing to endure?,pos
1230962317,Try it.  It was the shot the bartender used to beat me in a shot contest.  ,pos
1229389220,is laughing at Symantec's 12 days of Christmas spam song! My client makes me laugh!  URL,pos
1228931797,runnin to the airport to pick up parents ... northwest flight late ,neg
1230490379,"no problem, I nudged because I concerned ",pos
1230170999,i didn't know &gt;w&lt; was a face...xD missed you,pos
1231175756,  anything interesting going on?,pos
1229549399,I don't want to go to work tonight..I wanna hang out with chris ,neg
1229547768,avg and I did not get along ,pos
1228192430,A and Em for the verses? ,pos
1229917259,Playd good set of ping-pong games wid Ahmed nd JK. The scoreline read 3-1. Itz an honor to win against those top guyz ,pos
1231005738,"Bad timing should I say... or should I say kismat ka khel!!! naaa...
I Am what I wanna be!!! ",pos
1229639382,"you are such a geek. i, too get inordinately excited over publishers' catalogs. ",pos
1228273334,"I have no tips, but I'm awaiting of many many photos and stories to tell from china ",pos
1229878350,"congrats, man!  it's easy as pie until they're teenagers ",pos
1231214680,"fine, fine, throw some malai/khoa/rasgulla in if you must  USER",pos
1229702097,"USER If we lived together, I would probably never hang out with you .",pos
1230435817,actually I'm trying to clone their biz plan  Google just got the jump on me ,pos
1231017400,It seems like December will be full. Of parties of course ,pos
1229006955,busting out the new wii mario cart! the race is on  ,pos
1229310907,There's always the Elgin Street Diner   Breakfast poutine is for real men. But their all-day brekkies and omelets are great too!,pos
1228581145,I took it to work so I have something to do at 3am. It's easier to leave it there than bring it back and forth all week though. ,neg
1228574176,Jst spotted Felicity Kendal on UTV - I do love that lady ,pos
1229914861,"Joon, it really is sad   Those pictures that are up (downloaded at my parents') are the only survivors. oh well  Evan can join!!",pos
1230343148,"cool, this one was their sparkling water. Similar bottle but glass. ",pos
1231247440,good morning gentle twitternauts! - And a happy thanksgiving day to our friends on the other side of the pond ,pos
1229995120,"b'coz till now holiday is ""ON"" & u are in the same mood...! ",pos
1229216283,Merry Christmas everyone! ,pos
1229029448,"ooh, I'm jealous...have a wonderful time in the Bahamas! ",pos
1230166181,"Well I believe I stirred things up in my hometown, let's just say not everyone agrees, but I say To Each His Own! ",pos
1230999303,I know what you mean! I have two in college kids and two at-home teens...we're just a bit crazy I think ,pos
1228504415,"I know you in real life! I feel like I should start wildly applauding, like when you walked into Jen's party. Great entrance! ",pos
1228930196,I would've liked a party dress. ,neg
1229539717,Veel plezier! ,pos
1228065249,you too ,pos
1230949984,just unboxed my camera : ). stupid late shipping.,pos
1230470914,can it wait until tomorrow when I'm reunited with my books? ,pos
1230825774,Oh no; that sounds much with the not happy. ,neg
1230094848,"bummer!  well, keep it on the menu for next time-  & now that i think of it, its COKE, not DP. ",pos
1229452825,MERRY CHRISTMAS TO ALL!!! HO HO HO! have a blessed day everybody! AND BE THANKFUL AND GRATEFUL FOR ALL THAT YOU HAVE!!!!! ,pos
1230532332,"I feel you, honey  4 days is my limit",pos
1228794311,Very excited that someone returns from CLT today! ,pos
1229652131,Claire and I are in the same group at Forrester. ,pos
1229479552,I just woke up. Now I'm making pasta for my birds. ,pos
1231037107,Thank you for the Xmas prezzies and the Xmas Card. Love you guys! Mwah! xxx ,pos
1229022969,Have a great run!! ,pos
1231263527,"That's what I said.....""he's the man ",pos
1229331046,"Good morning and Merry Christmas, everyone. ",pos
1229823755,Woke up an hour ago and I still feel like I haven't slept in days ,neg
1231015683,"isnt it awesome that little birds always know the real info. Now, if they only told you 90 days before you were being fired. ",pos
1228678811,Playing rockband. ,pos
1229028041,"""USER you can count on USER and 'me' "" :P",pos
1230585492,so this message about how absolutely GREAT OrangeValley is should reach your LinkedIn ,pos
1229737289,Ha! Knew you could,pos
1231183229,"NBC isn't coming in tonight.  I'll have to watch The Office on Hulu later...guess I get to watch Grissom leave CSI, then.",neg
1230345857,I sometimes wish there is snow in Malaysia.I could only see it when I am on my vacation ,pos
1230004675,Uploading some shots now to Flickr  I really have to get going on my homework and some studying...,pos
1227230438,#overbooked flight...the reason is easy.  Ghosts. ,pos
1228635728,Levi doesn't love us anymore.  It's all about work and Erin these days.  I feel neglected.  ,neg
1229639370,hopefully next month!!! ,pos
1230841647,"ah, good to know it was all understandable ",pos
1228862593,USER CONGRATULATIONS!!!  So happy for you guys!! ,pos
1229728174,"it is your anniversary on the 29th (Monday), so i don't think Araks will be happy if you have plans ",pos
1229089849,"actually, i could go for the pizza. but i think i know at least three people who would have a problem with the other part. ",pos
1229350479,Feelin good ,pos
1230001479,Too much fun. Hello comfy bed!!! ,pos
1227815431,physical or online ,pos
1230645865,Does that mean you're moving back to Vancouver?  BTW always wanted to tell you I love your attitude ,pos
1230497305,Disney like whut!! haha  URL,pos
1228457711,welcome to all of my new followers ,pos
1229642862,"Watching two HSers play chess, and one gave up a Mate in 3, (I think); my move was stronger, at least. Took effort not to say something! ",pos
1229122305,ima horrible mom...i didnt do xmas cookies at all this year with the kidlets...first time since...well ever!! ,neg
1229670453,Happy Birthday!!! ,pos
1228930172,inktales wallpapers - URL love the subtle colors ,pos
1229293908,TWILIGH...I want to watch..Wa.Wa.Wa.Wa.Wa ,neg
1229003524,deoooon deoonnn... ada ka bayuuuu hehe *guru flash gw itu lhooo  URL,pos
1228702502,I can't believe you're packing. I haven't even done laundry. But Basil's portfolio site is coming along!  We have no tree yet. ,neg
1229172378,nothing is more awesome than a contest where the voting form doesn't appear?  URL haha,pos
1229388275,geraghty goes for the low hanging fruit AND claims he's too good to do it..   no shame at all..  ),pos
1229747636,"The hat's really stylin', Jaffer. ",pos
1230319166,I know it's terrible! This year has been so shitty for me ,neg
1230094843,It's very sad that I  have to wait so long   only takes a week to post from US to Au but amazon takes a month!,neg
1229266518,A review after watching the preview  The official release date is 25th but i think it wont happen coz of some stay order,pos
1229531265,"Ahhh, good to see I'm not the only one having issue with that reader - I have issue with Ubuntu and OSX.  Send a note to Adam.  ",pos
1231285112,I am here.... Thanks danny for the drinks  URL,pos
1229293145,awwwww thank you. You made my day My other friend didn't like it ,neg
1226397822,"thats why i like reading your tweets, they always make me hungry ",pos
1231193609,burger and beer if you want too. I'm the girl with the computer in the bar looking pissed off ,pos
1229969723,": Would you settle for an Old Podcaster in Stevens Point, WI? ",pos
1230584887,I have come to the conclusion that chief delphi is involved in almost every math problem ,neg
1228249492,"Moving the Santa outside with Shaun. Haha, it's like a little mall parade. Everyone keeps waving as we pass   URL",pos
1229851075,uh..huh.. k.. i'll try to do that some time soon ,pos
1230575010,"Haahaha i woke up like 40 minutes ago 
did u just wake?",pos
1229888325,"Weird, didn't happen in IDEA 7. Sadness ",neg
1230866823,Just finished church. Now on 2 things like food.,pos
1228797861,"Might find it in IKEA maybe? Just curious to see what its like.. my little things to try as I ""nordify"" ",pos
1230500385,PS; you're getting me too stoked on the fact that I get to see PBC next Wednesday .,pos
1229449277,Nails&toes done next stop lunch withUSER ,pos
1229034439,Goin back 2 hometown 2 have new years with 'uncles' ronnie and stanley. ,pos
1228949185,"well I'm glad your Christmas was as good as it was *hug* too bad you're missing the show tomorrow.  mrs. Tacker is coming, LOL",neg
1229550226,new to this shit... get at me ,pos
1228382788,OMG thats awesome   ,pos
1229465457,i need to get some serious work done. and all i want right now is a shower and food. ,neg
1228784258,Fantastic song. ,pos
1228703119,I'd love to be wrong about this  USER please let me know if you have found the secret lair of great ticket prices!  Thanks!,pos
1230689037,looks good or how about this URL whatever is clever ,pos
1229977488,"I have 55 minutes to ride the train to my car drive home to get my books, get lunch, and drive to my next job!  i like being busy",pos
1229241673,"Well, good morning to you, Lisa! ",pos
1227724105,Which is exactly why my friend and I rented it  It was the whole 'clan of weavers' that prompted that tweet :P,pos
1229266558,that's nice of you and cool thing to do - ,pos
1229330490,about the snow I didn't see your message till now it's a stand near the rainforest cafe' I only work weekends ,pos
1227108623,"Ok, have to put kids to bed, then get to my Christmas cards. LOL  It's been a great nite chatting.  cya l8r",pos
1229048025,face it I can code my way out of needing you ,pos
1229563231,"I love that book, too! Glad we connected here! Let me know when you get that hamburger phone! ",pos
1229175282,Typing from my new iPhone. Dear god I'm in complete euphoria. ,pos
1229131132,it's according to a study... wasn't making my own statement.... ,pos
1229953909,Fixed - thanks bud ,pos
1229493249,Just had some baby back ribs at outback.  Movie time now ,pos
1228271218,i went to sleep at 11 last night and got up at 11:40 today. i'm still tired. ,neg
1229540639,OVER AND OUT.... VLADIMIR KLITSCHO WON... They ended the fight.... already ,neg
1230244090,"I have decided not to spend 300$ on a signed against me! Geetar. I really wanted this, bad. ",neg
1229019076,Done ,pos
1230310898,Very windy here...my little chicken dog is crouching down beside me ,pos
1228667664,Hey even i want the gmail stickers. Its a shame that there is no Indian address to which i can send the request snail mail. ,neg
1229959753,no I haven't but I sounds like I need to make it! ,pos
1231102443,GASPS! ,pos
1229567665,I'm gonna bake cookies at my parents house. Clean the house and be lazy ,pos
1230256359,thank you; you too. ,pos
1229040485,just got new christmas pj's so comfy ,pos
1229480368,zou wel eens een groot twitter anouncement doen ,pos
1231281582,"If anyone out there wants to know more about #ASU and #SkySong, give me a shout, tweet, or whatever. ",pos
1229758677,Aww Friday night's Orlando show was a definate repeat of HCT '07. TAI and FOB... I had alot of fun. Thanks for the memories,pos
1229997533,WAY TO GO *BSS!!! * YOU GOT THE ANSWER -&gt; *ASTIGMATISM* &lt;-  GIVING YOU -&gt; 3404 &lt;- WINS! YOU CURRENTLY HOLD PLACE -&gt; 3 &lt;- ON THE TOP 10 ...,pos
1229015678,"We'll be there through the 2nd, we're visiting USER family.  I'll wave to you as we fly over on the way back, ok? ",pos
1228911654,its my powerbook. g4. its still functional but my latch is natched. ,neg
1231272748,"Hey, I'll add it to my wish list for Christmas ",pos
1229307894,"Woke up to about a .5"" of ice& snow on ground. Not a big deal if my MBP was workin. Id stay at home but now I have to go to the office ",neg
1228842797,"URL - gloves! you wear gloves!!! hooray! you're a lady!!  and i love the bag, miss... ooh and the ...",pos
1229745906,"Cool coincidence, didn't catch your earlier tweet. Yeah, our boy loves the goldfish; what kid (and kid at heart) doesn't? ",pos
1229697751,just file him under J.A. and it's done.  xoxo-pm,pos
1229800597,is going for the Bruce Willis look ,pos
1229234771,have you developed a blogging addiction ,pos
1229309923,CRUSH IT!!!! ,pos
1229370891,Researching where I'm going to get my skydiving certification. Looks like its really going to happen ,pos
1230164935,"is missing her Storm, sitting at home on the charger.  Forgotten and unloved.   kri kri kri",neg
1229494144,whooaaa holy artwork batgirl... Very very cool pieces!! I like ,pos
1230478943,"ooh, awesome! I hope someone will stream it live or something so I can virtually participate  hint hint. Someday I'll get to MW",pos
1229289542,UGH! That sucks! Do you know if they found it? Stresssss  I'm sorry,neg
1230575278,Ha! awesome ,pos
1230072043,happy new year ! ,pos
1229716934,"is slightly hung over... yep, it's new year's day  Happy 2009 to everybody!",pos
1229566967,I'm gone - just doing software updates (bought new keyboard & thinking about posture) still have RSI Im really trying to be good ,pos
1225984545,thinkgeek.com is where i got mine!  perpetualkid.com also has it,pos
1229286648,Lol... you are SO cute! I don't know if I'd fit in a box!  If I did though... it'd be in lingerie and with a whip in hand. ,pos
1230847941,"Yup! LOL! As in the Towering. haha.I'm just smart enough to find a dictionary. My daddy made me when I was 6. Thanks, Dad. ",pos
1230928781,Stores aren't open that early here. Still small town thinking.  but that's ok.,pos
1229650580,Then im going to make anna buy me chikfila breakfast to make me feel better ,pos
1229565424,"my website only shows their ip address, not sure where they are located. Wish there was such a thing to block an IP address..",pos
1229806847,Awesome! Bro in law sounds smart ,pos
1228602671,WHAT?? You'd never heard that song before?  I thought you were there with us when they played it in Romania. Weird. ,pos
1228314591,"back in Camberley after an awesome festive period.  Much to do, much excellence to pursue, and hoping everyone is having much awesome ",pos
1229015227,Be safe and don't do anything I wouldn't do. ,pos
1229632572,sooooooooooooooooo tired of being tired....when is Xmas again? can't wait till next Tuesday ,pos
1229144546,Reading the news & I'm upset 2 read that they maybe found Caylee's remains  ...  I'd link d story but I'm not as advanced as you guys ;),neg
1230413688,nice avatar ,pos
1230366736,Just got my copy of USER book!!  You would not believe the trouble ive had trying to get this!! ,pos
1228894072,I will be making a big post tomorrow with a list of wishes I need help with ,pos
1224000677,"I'm here, I'm back, yell at me. I've been out of commission for a few days, caught the ill New Year's cold ",neg
1230750559,already did   Right after the last post. I don't want to forget this one.,pos
1229742170,"It's 19 freaking degrees outside, show me the warming. ",pos
1230726370,"Looking forward to cuddling up to my Pup, when I get home!!  ",pos
1231097652,RETWEET Check out #ActionsTalk #22 featuring Cd Vann of #Sohobiztube.com! Pls retweet Milwaukee/Chicago  URL,pos
1230569473,did u see the video with u at GOD Encounter? Love it,pos
1229462806,It would be easier but not necessarily better.  Although having it delivered could be a pleasure if you think about it.,pos
1229599460,where's my danish prince???? ,pos
1229487250,done with work goin grocery shoppin.,pos
1229108408,"I'm very impressed you're not drinking, thumbs up ",pos
1230156307,"Seeing this makes me feel so inexplicably sad. Seriously, I feel stabbed.  URL",neg
1229727438,BTW That was a Christmas movie I was talking about ,pos
1229643061,i know isnt it great?  what is 'hm'?,pos
1230956698,LOVE THEM! You know I'll be ordering ) LOL,pos
1228439237,hah. the Vlog of assembly should be funny.  I'm in charge of assembling. I once put together a crib in 20 mins. MYSELF.,pos
1228256372,when I had my C64 in SE Asia we had no bbs' and had to mail floppies or tapes around... ahh nostalgia ,pos
1229308816,glad to hear you can surf; sucks about your eye tho ,neg
1230578049,"maybe I should have you bring some puppy chow on Saturday night!? : )  BTW, Any of you gals wanna do a session at Dream Dinners?",pos
1229147872,"Seriously, in here, a thermal mug would keep your coffee warm for about 3 seconds ",pos
1230658041,"We have a parakeet, too.  He's 12 years old.  His mate died three years ago ",neg
1229066879,it will touch many lives Hows all back home?,pos
1229296498,Today's our last day although some folks here have to go thru Tuesday. They also have to come back on Jan 2. ,neg
1229144373,I nominate USER for a Shorty Award in #tech because she is a Wordpress and Membership site goddess! ,pos
1227237145,Ooh sushi sounds good! There's no good place in Marina. ,neg
1229357294,I've already lost my favorite pair of leggings. Probably off with my lost Joey Joe shirt having a grand old time ,neg
1230265679,drawing on a stripper's tits is not freelance graphic design!!!    congrats homey!,pos
1230589119,hey keep me posted on that anyway ;) I don't think I have time for any more social web things right now ,pos
1228791848,just heard from Karle and they are keeping him for at least one more day... this just sucks! ,neg
1229047178,"People don't talk about keep alive because it doesn't show up in their ""ab localhost/default.html"" testing ",pos
1229663412,"we worship Apple, not because they bestowed us Macworld, that is IDG's right to claim. (Hail Paul!) ",pos
1229173263,"Fun Topics on Fire podcasts for the holiday season coming up, folks! Shopping help this weekend, then style help for new year, then wine. ",pos
1230846017,"Thanks for the book, Craig!  Merry Christmas! ",pos
1230134057,I am at work... Yes it is 6am and the roads are beginning to ice over. Hopefully it will be a slow day ,pos
1228511585,re 5 stages of twitter acceptance - URL - i'm probably stage 6 or 7 ,pos
1230461794,"Hey, I never thought of a make-up show! I might do one tonight!  I'll let you know, I have to go to work today.",pos
1229233050,"hey, I would love to head on over there   I'll just check in on BrightKite ...",pos
1228836149,"Actually, that's what your here for, to bitch slap the spammers for me ",pos
1229470591,Thanks Neville ,pos
1230735581,Well you shall just have to come visit.  We will buy all your TJ's favs ,pos
1230411750,Ik ben toch ook draadloos ,pos
1227202697,Fantastic! I don't often get to personally tell artists that I'm a fan...um...so yeah...I'm a fan  USER pointed me to you.,pos
1230348705,Gotta go crank out a few new blog posts. My drafts are in backlog (LOL). Will be back after I serial comment in AR. ,pos
1228834103,"Astept un amic la cafenea si astia au dat tv-ul pe KanalD la un cacat de emisiune. Cica ""rialiti ?ou"" )",pos
1228422876,Oh gosh. My dog just peed on me a little. ,neg
1229909550,"I just got this email ""Now I understand why* would rather do drugs and be in jail rather than be with a * like you. me again "" WTF?",pos
1230249297,yup . u remember! will wish u also tomorrow ,pos
1228352762,PEACE is the requirement of the moment! hence the doves design ,pos
1230567174,.. replay value,pos
1229564745,Now that that's done I think I'll head home.  ,pos
1230383463,It just took an entire packet of tissues to clear my nose twice... This f*cking cold is getting me down now ,neg
1228043845,Awkward was never a Kodak moment (tm) .. but I understand how you feel about photos.  Awkward and/or humourous are the best ,pos
1229807144,"Hey! *waving* Thanks, Sis.  xoxoxo Hope you are good.",pos
1229548191,"I think I am really enjoying my ""new"" approach to web design: drawing the layout on paper with a pencil ",pos
1229745761,"You are, no kidding, one of the first to get it. I'm glad you enjoy it ",pos
1229985605,I'm looking at all the X-Men action figures I ordered!! They rock!!! Gambit is my fav I hope you all know that haha  goodnight,pos
1228938865,"lindos nomes. to belos quanto a me  bela escolha,lgico.",pos
1230851462,"Don't say that I'll be tweeting at you L & R! Thinking of starting with just dyeing, but also want excuse to buy wheel. ",pos
1229659387,My mom is in surgery right now and on the ventilator. ,neg
1229632858,"USER Yes, you can. ",pos
1229643834,Google Apps supports .co.uk and .com but why not .org.uk? ,neg
1228313047,"No, dear, afraid not. ",pos
1229587151,lost crown again and had to stop for more dental cement ,neg
1229486704,alas not - no hot water  at least we have heat from a stand alone gas fire.,neg
1229922473,thaaanks! Good to hear from you too ,pos
1229588002,woo hoo ... going for a pint  Pravada or something like that,pos
1229721099,back in the office working.  looking forward to time off next week ,pos
1230829465,"Heheh, I know how that goes! Thanks for the support. ",pos
1231282480,"didn't think I was going to get to see my husband on Christmas, and I did... was pleasantly surprised to have a special Christmas in 2008 ",pos
1230768613,I got it Mr. Reese ,pos
1229293182,So I totally think that you should take Amanda to see Twilight ,pos
1229744008,"What is best? Twhirl? Tweet Deck, ANY OTHER Tweety things I need?  I have the new mytweetertoolbar...getting a little twitter confused  ",pos
1230641802,Working out ,pos
1229386901,"The St Pats Dash is in March. That is also festive, so you should shoot for creating a swank outfit for that run ",pos
1229347349,bummer night so wanted 2 get into work and face a new day then we get hit with 1 hour delays westbound into the city.. i could cry now ,neg
1230878342,"sweet, sweet boozeahol, eh Leigh? ",pos
1230850515,"Oh right, cool. That would explain all the drink ads on Notorious Beam Team. :P You have some really nice work there. ",pos
1228169813,She says she likes the way a twitter... guess that means I found my key stroke (Lame or just over ya head?...probably just lame) ,pos
